,CityST,lon,pop,AirportDist,lat,BaseDist,count,per_capita_sum,per_capita_avg,sqrt_airport,sqrt_base,sqrt_per_capita,cubert_per_capita,log_airport,log_base,log_per_capita
4753,"Addison, IL",-87.9889556,36942.0,8.69391917465,41.931696,43.5070326376,3,8.12083807049e-05,8.12083807049e-05,2.94854526413,6.59598610047,0.00901156926983,0.0433045586684,2.16262383584,3.77292259486,-9.41849210547
4754,"Hempstead, NY",-73.6187397,50271.0,15.3984272904,40.7062128,36.3691542888,4,8.104154894e-05,7.95687374431e-05,3.9240829872,6.03068439638,0.00900230797852,0.043274883862,2.7342653802,3.59372100574,-9.42054858493
4755,"Key Biscayne, FL",-80.1628248,12344.0,9.43540104061,25.693713,31.7861775901,1,8.10110174984e-05,8.10110174984e-05,3.07170979108,5.63792316284,0.00900061206243,0.0432694487465,2.24446868355,3.45903152831,-9.42092539404
4756,"Irondale, AL",-86.7072102,12349.0,5.10239329891,33.5381601,4.85976958851,1,8.09782168597e-05,8.09782168597e-05,2.25884778126,2.2044885095,0.00899878974416,0.0432636081535,1.62970970395,1.58099102702,-9.42133036712
4757,"Valley Stream, NY",-73.7084645,37130.0,6.53949532317,40.6642699,27.8513183143,3,8.08143938725e-05,8.07971990304e-05,2.55724369648,5.27743482331,0.00898968263469,0.0432344136422,1.87785999478,3.32688030149,-9.42335546632
4758,"Hialeah, FL",-80.2914631206,223118.166667,4.63146786062,25.8670435,42.595791213,18,8.08138963525e-05,8.06747396185e-05,2.15208453845,6.52654512074,0.00898965496293,0.0432343249202,1.53287385039,3.75175545058,-9.42336162266
4759,"Forrest City, AR",-90.7898342,12521.0,54.3934441988,35.0081474,73.7012647819,1,7.98658254133e-05,7.98658254133e-05,7.37519112965,8.58494407564,0.00893676817498,0.0430645911221,3.99624363555,4.30001996027,-9.43516251367
4760,"Laredo, TX",-99.4980896286,194172.5,6.27062950037,27.5088823429,99.9019095344,14,7.98361166594e-05,7.21008381722e-05,2.50412250107,9.99509427341,0.00893510585608,0.0430592506902,1.83587674839,4.60418879993,-9.43553456618
4761,"Dunkirk, NY",-79.3339324,12563.0,5.30298378991,42.4795019,75.822566361,1,7.95988219374e-05,7.95988219374e-05,2.30282083322,8.70761542335,0.00892181718808,0.0430165470726,1.66826964137,4.32839595759,-9.438511265
4762,"West Hartford, CT",-72.7420399,62900.0,5.07824637599,41.7620447,19.1460080156,5,7.95320168692e-05,7.94912559618e-05,2.25349647792,4.37561515853,0.0089180724862,0.0430045095089,1.62496600042,2.95209423518,-9.43935088946
4763,"Harrison, NY",-73.7176337,25390.0,8.25475253338,40.9700171,41.3969725158,2,7.93044229367e-05,7.87711697519e-05,2.87310851403,6.43404791059,0.00890530307944,0.0429634488269,2.11078909914,3.72320775052,-9.44221665614
4764,"Ottawa, KS",-95.2686366,12649.0,40.6144235289,38.615768,39.7088266656,1,7.90576330145e-05,7.90576330145e-05,6.37294465133,6.30149400266,0.00889143593659,0.0429188360828,3.70412326285,3.68157349713,-9.44533343965
4765,"Harlingen, TX",-97.6961026,63392.0,5.92023669935,26.1906306,146.343526241,5,7.90537215869e-05,7.88743059061e-05,2.43315365305,12.0972528386,0.00889121597909,0.0429181282587,1.77837643109,4.98595677739,-9.44538291652
4766,"Bradford, PA",-78.5880801,12672.0,5.70667069189,41.8367297,143.44579116,1,7.89141414141e-05,7.89141414141e-05,2.38886389145,11.9768857037,0.00888336318148,0.0428928541,1.7416357874,4.96595720188,-9.44715011405
